1	C'	ce	CLS	CLS		2	suj	2	suj	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	1	1	1	3	_	1	3	_	del	1-1	_	_	_	_	_	_	_	_	_	_	_
2	était	être	V	V	n=s|t=I|p=3	0	root	0	root	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	1	3	1	8	imparfait	3	8	_	subst	4-5	_	_	_	_	_	_	_	_	_	_	_
3	une	une	DET	DET	n=s|g=f	4	det	4	det	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	1	9	1	12	_	9	12	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	9-43	_	_	_	_	_	_
4	femme	femme	NC	NC	n=s|g=f	2	obj	2	obj	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	1	13	1	18	_	13	18	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	9-43	_	_	_	_	_	_
5	partie	partie	NC	NC	n=s|g=f	4	mod	4	mod	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	1	19	1	25	_	19	25	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	9-43	_	_	_	_	_	_
6	vivre	vivre	VINF	VINF	t=W	2	mod	2	mod	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	1	26	1	31	_	26	31	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	9-43	_	_	_	_	_	_
7	en	en	P	P		6	mod	6	mod	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	1	32	1	34	_	32	34	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	9-43	_	_	_	_	_	_
8	montagne	montagne	NC	NC	n=s|g=f	7	prep	7	prep	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	1	35	1	43	_	35	43	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	9-43	_	_	_	_	_	_
"
"
1	Elle	elle	CLS	CLS	n=s|g=f|p=3	2	suj	2	suj	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	2	2	6	_	44	48	consigne	in_add	44-92	_	_	_	is_GNon_incertDNon_incertRNon	44-48	_	_	_	_	_	_
2	habitait	habiter	V	V	n=s|t=I|p=3	0	root	0	root	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	7	2	15	imparfait	49	57	consigne	in_add	44-92	_	_	_	_	_	_	_	_	_	_	_
3	dans	dans	P	P		2	mod	2	mod	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	16	2	20	_	58	62	consigne	in_add	44-92	_	_	_	_	_	_	_	_	_	_	_
4	cette	cette	DET	DET	n=s|g=f	5	det	5	det	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	21	2	26	_	63	68	consigne	in_add	44-92	_	_	_	_	_	_	_	_	_	_	_
5	maison	maison	NC	NC	n=s|g=f	3	prep	3	prep	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	27	2	33	_	69	75	consigne	in_add	44-92	_	_	_	_	_	_	_	_	_	_	_
6	depuis	depuis	P	P		2	mod	2	mod	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	34	2	40	_	76	82	consigne	in_add	44-92	_	_	_	_	_	_	_	_	_	_	_
7	longtemps	longtemps	ADV	ADV		6	mod	6	mod	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	41	2	50	_	83	92	consigne	in_add	44-92	Err	longtemp	83-92	_	_	_	_	_	_	_	_
8	depuis	depuis	P	P		2	mod	2	mod	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	51	2	57	_	93	99	_	_	_	_	_	_	_	_	_	_	_	_	_	_
9	le	le	DET	DET	n=s|g=m	10	det	10	det	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	58	2	60	_	100	102	_	_	_	_	_	_	_	_	_	_	_	_	_	_
10	décès	décès	NC	NC	g=m	8	prep	8	prep	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	61	2	66	_	103	108	_	_	_	_	_	_	_	_	_	_	_	_	_	_
11	de	de	P	P		2	mod	2	mod	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	67	2	69	_	109	111	_	_	_	_	_	_	_	_	_	_	_	_	_	_
12	ses	ses	DET	DET	n=p|p=3|poss=s	13	det	13	det	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	70	2	73	_	112	115	_	issubst	112-115	Err	ses,	112-115	is_GNon_incertDNon_incertRNon	112-115	_	_	_	_	_	_
13	parents	parent	NC	NC	n=p|g=m	11	prep	11	prep	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	74	2	81	_	116	123	_	_	_	Err	parentsquelque	116-131	_	_	_	_	_	_	_	_
14	quelque	_	ADV	ADV		15	mod	15	mod	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	82	2	89	_	124	131	_	in_add	123-135	Err	parentsquelque	116-131	_	_	_	_	_	_	_	_
15	peu	peu	ADV	ADV		16	mod	16	mod	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	90	2	93	_	132	135	_	in_add	123-135	Err	peut	132-135	_	_	_	_	_	_	_	_
16	mystérieux	mystérieux	ADJ	ADJ	g=m	13	mod	13	mod	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	94	2	104	_	136	146	_	_	_	Err	mystèrieuse	136-146	_	_	_	_	_	_	_	_
17	.	.	PONCT	PONCT		16	ponct	16	ponct	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	104	2	105	_	146	147	_	_	_	Err	, Ils	146-151	_	_	_	_	_	_	_	_
"
"
1	Ils	ils	CLS	CLS	n=p|g=m|p=3	5	suj	5	suj	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	106	2	109	_	148	151	_	_	_	Err	, Ils	146-151	is_GOui_incertDNon_incertRNon	148-151	_	_	_	_	_	_
2	n'	ne	ADV	ADV		5	mod	5	mod	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	110	2	112	_	152	154	_	_	_	_	_	_	_	_	_	_	_	_	_	_
3	avaient	avoir	V	V	n=p|t=I|p=3	5	aux_tps	5	aux_tps	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	112	2	119	imparfait	154	161	_	subst	158-161	_	_	_	_	_	_	_	_	_	_	_
4	jamais	jamais	ADV	ADV		5	mod	5	mod	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	120	2	126	_	162	168	_	_	_	_	_	_	_	_	_	_	_	_	_	_
5	retrouvé	retrouver	VPP	VPP	n=s|g=m|t=K	0	root	0	root	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	127	2	135	_	169	177	_	_	_	Err	retrouver	169-177	_	_	_	_	_	_	_	_
6	les	les	DET	DET	n=p	7	det	7	det	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	136	2	139	_	178	181	_	_	_	_	_	_	_	_	_	_	_	_	_	_
7	corps	corps	NC	NC	g=m	5	obj	5	obj	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	140	2	145	_	182	187	_	_	_	_	_	_	_	_	_	_	_	_	_	_
8	ni	ni	CC	CC		5	coord	5	coord	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	146	2	148	_	188	190	_	_	_	Err	ny	188-190	_	_	_	_	_	_	_	_
9	l'	le	DET	DET	n=s	10	det	10	det	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	149	2	151	_	191	193	_	_	_	_	_	_	_	_	_	_	_	_	_	_
10	assassin	assassin	NC	NC	n=s|g=m	8	dep_coord	8	dep_coord	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	151	2	159	_	193	201	_	_	_	_	_	_	_	_	_	_	_	_	_	_
11	.	.	PONCT	PONCT		10	ponct	10	ponct	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	159	2	160	_	201	202	_	_	_	_	_	_	_	_	_	_	_	_	_	_
"
"
1	Le	le	DET	DET	n=s|g=m	2	det	2	det	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	161	2	163	_	203	205	_	_	_	_	_	_	_	_	_	_	_	_	_	_
2	père	père	NC	NC	n=s|g=m	10	mod	10	mod	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	164	2	168	_	206	210	_	_	_	_	_	_	_	_	_	_	_	_	_	_
3	,	,	PONCT	PONCT		2	ponct	2	ponct	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	168	2	169	_	210	211	_	_	_	_	_	_	_	_	_	_	_	_	_	_
4	la	la	DET	DET	n=s|g=f	5	det	5	det	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	170	2	172	_	212	214	_	_	_	_	_	_	_	_	_	_	_	_	_	_
5	mère	mère	NC	NC	n=s|g=f	10	suj	10	suj	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	173	2	177	_	215	219	_	_	_	_	_	_	_	_	_	_	_	_	_	_
6	et	et	CC	CC		5	coord	5	coord	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	178	2	180	_	220	222	_	_	_	Err	,	219-222	_	_	_	_	_	_	_	_
7	l'	le	DET	DET	n=s	8	det	8	det	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	181	2	183	_	223	225	_	_	_	_	_	_	_	_	_	_	_	_	_	_
8	assassin	assassin	NC	NC	n=s|g=m	6	dep_coord	6	dep_coord	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	183	2	191	_	225	233	_	_	_	_	_	_	_	_	_	_	_	_	_	_
9	étaient	être	V	V	n=p|t=I|p=3	10	aux_pass	10	aux_pass	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	192	2	199	imparfait	234	241	_	_	_	Err	était	234-241	_	_	_	_	_	_	_	_
10	partis	partir	VPP	VPP	n=p|g=m|t=K	0	root	0	root	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	200	2	206	_	242	248	_	_	_	Err	partie	242-248	_	_	_	_	_	_	_	_
11	sur	sur	P	P		10	mod	10	mod	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	207	2	210	_	249	252	_	_	_	_	_	_	_	_	_	_	_	_	_	_
12	une	une	DET	DET	n=s|g=f	13	det	13	det	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	211	2	214	_	253	256	_	_	_	_	_	_	_	_	_	_	_	_	_	_
13	île	île	NC	NC	n=s|g=f	11	prep	11	prep	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	215	2	218	_	257	260	_	_	_	_	_	_	_	_	_	_	_	_	_	_
14	échouée	échouer	VPP	VPP	n=s|g=f|t=K	13	mod	13	mod	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	219	2	226	_	261	268	_	_	_	Err	échoué	261-268	_	_	_	_	_	_	_	_
15	en	en	P	P		14	mod	14	mod	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	227	2	229	_	269	271	_	_	_	_	_	_	_	_	_	_	_	_	_	_
16	plein	plein	ADJ	ADJ	n=s|g=m	17	mod	17	mod	CO-3e-2018-FSBJC6-D1-R3-V1_N.ac	2	230	2	235	_	272	277	_	_	_	_	_	_	_	_	_	_	_	_	_	_
