1	Dans	dans	P	P		14	mod	14	mod	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	1	1	5	_	1	5	_	_	_	_	_	_	_	_	_	_	_	_	_	_
2	un	un	DET	DET	n=s|g=m	4	det	4	det	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	6	1	8	_	6	8	_	_	_	_	_	_	_	_	_	_	_	_	_	_
3	petit	petit	ADJ	ADJ	n=s|g=m	4	mod	4	mod	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	9	1	14	_	9	14	_	_	_	_	_	_	_	_	_	_	_	_	_	_
4	village	village	NC	NC	n=s|g=m	1	prep	1	prep	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	15	1	22	_	15	22	_	_	_	_	_	_	_	_	_	_	_	_	_	_
5	du	de	P+D	P+D	n=s|g=m	4	dep	4	dep	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	23	1	25	_	23	25	_	_	_	_	_	_	_	_	_	_	_	_	_	_
6	sud	sud	NC	NC	n=s|g=m	5	prep	5	prep	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	26	1	29	_	26	29	_	_	_	_	_	_	_	_	_	_	_	_	_	_
7	de	de	P	P		4	dep	4	dep	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	30	1	32	_	30	32	_	_	_	_	_	_	_	_	_	_	_	_	_	_
8	la	la	DET	DET	n=s|g=f	9	det	9	det	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	33	1	35	_	33	35	_	_	_	_	_	_	_	_	_	_	_	_	_	_
9	France	France	NPP	NPP	n=s|g=f,m	7	prep	7	prep	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	36	1	42	_	36	42	_	_	_	_	_	_	_	_	_	_	_	_	_	_
10	,	,	PONCT	PONCT		9	ponct	9	ponct	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	42	1	43	_	42	43	_	_	_	_	_	_	_	_	_	_	_	_	_	_
11	une	une	DET	DET	n=s|g=f	13	det	13	det	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	44	1	47	_	44	47	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	44-60	_	_	_	_	_	_
12	vieille	vieux	ADJ	ADJ	n=s|g=f	13	mod	13	mod	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	48	1	55	_	48	55	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	44-60	_	_	_	_	_	_
13	dame	dame	NC	NC	n=s|g=f	14	suj	14	suj	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	56	1	60	_	56	60	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	44-60	_	_	_	_	_	_
14	racontait	raconter	V	V	n=s|t=I|p=3	0	root	0	root	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	61	1	70	imparfait	61	70	_	_	_	Err	raconter	61-70	_	_	_	_	_	_	_	_
15	une	une	DET	DET	n=s|g=f	17	det	17	det	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	71	1	74	_	71	74	_	_	_	_	_	_	_	_	_	_	_	_	_	_
16	petite	petit	ADJ	ADJ	n=s|g=f	17	mod	17	mod	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	75	1	81	_	75	81	_	_	_	_	_	_	_	_	_	_	_	_	_	_
17	histoire	histoire	NC	NC	n=s|g=f	14	obj	14	obj	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	82	1	90	_	82	90	_	_	_	_	_	_	_	_	_	_	_	_	_	_
18	effrayante	effrayant	ADJ	ADJ	n=s|g=f	17	mod	17	mod	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	91	1	101	_	91	101	_	_	_	_	_	_	_	_	_	_	_	_	_	_
19	à	à	P	P		14	mod	14	mod	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	102	1	103	_	102	103	_	_	_	Err	a	102-103	_	_	_	_	_	_	_	_
20	sa	sa	DET	DET	n=s|g=f|p=3|poss=s	21	det	21	det	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	104	1	106	_	104	106	_	_	_	_	_	_	is_GNon_incertDNon_incertRNon	104-106	_	_	in_GNon_incertDNon_incertRNon	104-137	_	_
21	petite-fille	petite-fille	NC	NC	n=s|g=f	19	prep	19	prep	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	107	1	119	_	107	119	_	_	_	Err	petite fille	107-119	_	_	_	_	in_GNon_incertDNon_incertRNon	104-137	_	_
22	et	et	CC	CC		14	coord	14	coord	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	120	1	122	_	120	122	_	_	_	_	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	104-137	_	_
23	son	son	DET	DET	n=s|g=m|p=3|poss=s	24	det	24	det	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	123	1	126	_	123	126	_	_	_	_	_	_	is_GNon_incertDNon_incertRNon	123-126	in_GNon_incertDNon_incertRNon	123-137	in_GNon_incertDNon_incertRNon	104-137	_	_
24	petit-fils	petit-fils	NC	NC	n=s|g=m	22	dep_coord	22	dep_coord	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	127	1	137	_	127	137	_	_	_	Err	petit fils	127-137	_	_	in_GNon_incertDNon_incertRNon	123-137	in_GNon_incertDNon_incertRNon	104-137	_	_
25	;	;	PONCT	PONCT		24	ponct	24	ponct	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	138	1	139	_	138	139	_	_	_	_	_	_	_	_	_	_	_	_	_	_
26	mais	mais	CC	CC		14	coord	14	coord	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	140	1	144	_	140	144	_	_	_	_	_	_	_	_	_	_	_	_	_	_
27	ses	ses	DET	DET	n=p|p=3|poss=s	28	det	28	det	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	145	1	148	_	145	148	_	subst	145-146	_	_	_	is_GNon_incertDNon_incertRNon	145-148	in_GOui_incertDNon_incertRNon	145-163	in_GNon_incertDNon_incertRNon	145-163	_	_
28	petits-enfants	petit-enfant	NC	NC	n=p	29	suj	29	suj	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	149	1	163	_	149	163	_	_	_	Err	petits enfants	149-163	_	_	in_GOui_incertDNon_incertRNon	145-163	in_GNon_incertDNon_incertRNon	145-163	_	_
29	entendaient	entendre	V	V	n=p|t=I|p=3	26	dep_coord	26	dep_coord	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	164	1	175	imparfait	164	175	_	_	_	_	_	_	_	_	_	_	_	_	_	_
30	des	des	DET	DET	n=p	31	det	31	det	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	176	1	179	_	176	179	_	_	_	_	_	_	_	_	_	_	_	_	_	_
31	bruits	bruit	NC	NC	n=p|g=m	29	obj	29	obj	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	180	1	186	_	180	186	_	_	_	_	_	_	_	_	_	_	_	_	_	_
32	,	,	PONCT	PONCT		31	ponct	31	ponct	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	186	1	187	_	186	187	_	_	_	_	_	_	_	_	_	_	_	_	_	_
33	la	la	DET	DET	n=s|g=f	34	det	34	det	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	188	1	190	_	188	190	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	188-201	_	_	_	_	_	_
34	grand-mère	grand-mère	NC	NC	n=s|g=f	29	mod	29	mod	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	191	1	201	_	191	201	_	_	_	Err	grand mère	191-201	in_GNon_incertDNon_incertRNon	188-201	_	_	_	_	_	_
35	leur	leur	CLO	CLO	n=p|p=3	36	aff	36	aff	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	202	1	206	_	202	206	_	_	_	Err	leurs	202-206	_	_	is_GOui_incertDNon_incertRNon	202-206	is_GNon_incertDNon_incertRNon	202-206	_	_
36	expliquait	expliquer	V	V	n=s|t=I|p=3	29	mod	29	mod	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	207	1	217	imparfait	207	217	_	_	_	_	_	_	_	_	_	_	_	_	_	_
37	alors	alors	ADV	ADV		36	mod	36	mod	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	218	1	223	_	218	223	_	_	_	_	_	_	_	_	_	_	_	_	_	_
38	qu'	que	CS	CS		36	mod	36	mod	CO-4e-2018-LSPJJRD-D1-R9-V1_N.ac	1	224	1	227	_	224	227	_	_	_	_	_	_	_	_	_	_	_	_	_	_
