1	E-calm	_	NC	NC		0	_	0	_	CO-5e-2018-IJLM-D1-R3-V1_N.ac	1	1	1	7	_	1	7	_	_	_	_	_	_	_	_	_	_	_	_	_	_
"
"
1	Elle	elle	CLS	CLS	n=s|g=f|p=3	2	suj	2	suj	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	2	2	6	_	8	12	consigne	_	_	_	_	_	is_GNon_incertDNon_incertRNon	8-12	_	_	_	_	_	_
2	habitait	habiter	V	V	n=s|t=I|p=3	0	root	0	root	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	7	2	15	imparfait	13	21	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
3	dans	dans	P	P		2	mod	2	mod	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	16	2	20	_	22	26	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
4	cette	cette	DET	DET	n=s|g=f	5	det	5	det	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	21	2	26	_	27	32	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
5	maison	maison	NC	NC	n=s|g=f	3	prep	3	prep	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	27	2	33	_	33	39	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
6	depuis	depuis	P	P		2	mod	2	mod	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	34	2	40	_	40	46	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
7	longtemps	longtemps	ADV	ADV		6	mod	6	mod	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	41	2	50	_	47	56	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
8	.	.	PONCT	PONCT		7	ponct	7	ponct	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	50	2	51	_	56	57	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
"
"
1	Elle	elle	CLS	CLS	n=s|g=f|p=3	0	_	0	_	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	52	2	56	_	58	62	_	_	_	_	_	_	is_GNon_incertDNon_incertRNon	58-62	_	_	_	_	_	_
2	s'	se	CLR	CLR	n=p,s|p=3	0	_	0	_	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	57	2	59	_	63	65	_	_	_	Err	s'appelé	63-73	_	_	_	_	_	_	_	_
3	appelait	appeler	V	V	n=s|t=I|p=3	0	_	0	_	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	59	2	67	imparfait	65	73	_	_	_	Err	s'appelé	63-73	_	_	_	_	_	_	_	_
4	Gisèle	Gisèle	NPP	NPP	n=s|g=f	3	suj	3	suj	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	68	2	74	_	74	80	_	_	_	Err	Gisèlle -- alternatives : Giselle	74-80	is_GNon_incertDNon_incertRNon	74-80	_	_	_	_	_	_
5	puis	puis	CC	CC		4	coord	4	coord	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	75	2	79	_	81	85	_	_	_	Err	puis	81-89	_	_	_	_	_	_	_	_
6	xxx	_	NPP	NPP		5	dep_coord	5	dep_coord	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	80	2	83	_	86	89	_	_	_	Err	puis	81-89	_	_	_	_	_	_	_	_
7	dans	dans	P	P		3	mod	3	mod	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	84	2	88	_	90	94	_	_	_	_	_	_	_	_	_	_	_	_	_	_
8	sa	sa	DET	DET	n=s|g=f|p=3|poss=s	9	det	9	det	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	89	2	91	_	95	97	_	_	_	_	_	_	is_GNon_incertDNon_incertRNon	95-97	_	_	_	_	_	_
9	maison	maison	NC	NC	n=s|g=f	7	prep	7	prep	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	92	2	98	_	98	104	_	_	_	_	_	_	_	_	_	_	_	_	_	_
10	de	de	P	P		3	mod	3	mod	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	99	2	101	_	105	107	_	_	_	_	_	_	_	_	_	_	_	_	_	_
11	campagne	campagne	NC	NC	n=s|g=f	10	prep	10	prep	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	102	2	110	_	108	116	_	_	_	_	_	_	_	_	_	_	_	_	_	_
12	.	.	PONCT	PONCT		11	ponct	11	ponct	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	110	2	111	_	116	117	_	_	_	_	_	_	_	_	_	_	_	_	_	_
"
"
1	Son	son	DET	DET	n=s|g=m|p=3|poss=s	2	det	2	det	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	112	2	115	_	118	121	_	_	_	_	_	_	is_GNon_incertDNon_incertRNon	118-121	in_GNon_incertDNon_incertRNon	118-126	_	_	_	_
2	mari	mari	NC	NC	n=s|g=m	7	suj	7	suj	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	116	2	120	_	122	126	_	_	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	118-126	_	_	_	_
3	qui	qui	PROREL	PROREL	n=s	5	suj	5	suj	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	121	2	124	_	127	130	_	_	_	_	_	_	_	_	is_GNon_incertDNon_incertRNon	127-130	_	_	_	_
4	s'	se	CLR	CLR	n=p,s|p=3	5	aff	5	aff	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	125	2	127	_	131	133	_	_	_	Err	s'appelé	131-141	_	_	_	_	_	_	_	_
5	appelait	appeler	V	V	n=s|t=I|p=3	2	mod_rel	2	mod_rel	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	127	2	135	imparfait	133	141	_	_	_	Err	s'appelé	131-141	_	_	_	_	_	_	_	_
6	André	André	NPP	NPP	n=s|g=m	7	suj	7	suj	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	136	2	141	_	142	147	_	_	_	_	_	_	_	_	is_GNon_incertDNon_incertRNon	142-147	_	_	_	_
7	fit	faire	V	V	n=s|t=J|p=3	0	root	0	root	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	142	2	145	passeSimple	148	151	_	_	_	Err	fesa -- alternatives : faisait	148-151	_	_	_	_	_	_	_	_
8	la	la	DET	DET	n=s|g=f	9	det	9	det	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	146	2	148	_	152	154	_	_	_	_	_	_	_	_	_	_	_	_	_	_
9	vaisselle	vaisselle	NC	NC	n=s|g=f	7	obj	7	obj	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	149	2	158	_	155	164	_	_	_	_	_	_	_	_	_	_	_	_	_	_
10	et	et	CC	CC		7	coord	7	coord	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	159	2	161	_	165	167	_	_	_	_	_	_	_	_	_	_	_	_	_	_
11	d'	de	P	P		10	dep_coord	10	dep_coord	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	162	2	164	_	168	170	_	_	_	_	_	_	_	_	_	_	_	_	_	_
12	un	un	DET	DET	n=s|g=m	13	det	13	det	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	164	2	166	_	170	172	_	_	_	_	_	_	_	_	_	_	_	_	_	_
13	coup	coup	NC	NC	n=s|g=m	11	prep	11	prep	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	167	2	171	_	173	177	_	_	_	_	_	_	_	_	_	_	_	_	_	_
14	sa	sa	DET	DET	n=s|g=f|p=3|poss=s	15	det	15	det	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	172	2	174	_	178	180	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	178-186	is_GNon_incertDNon_incertRNon	178-180	_	_	_	_
15	femme	femme	NC	NC	n=s|g=f	10	dep_coord	10	dep_coord	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	175	2	180	_	181	186	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	178-186	_	_	_	_	_	_
16	cria	_	NC	NC		15	mod	15	mod	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	181	2	185	_	187	191	_	_	_	_	_	_	_	_	_	_	_	_	_	_
17	.	.	PONCT	PONCT		16	ponct	16	ponct	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	185	2	186	_	191	192	_	_	_	_	_	_	_	_	_	_	_	_	_	_
"
"
1	Il	il	CLS	CLS	n=s|g=m|p=3	3	suj	3	suj	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	187	2	189	_	193	195	consigne	_	_	_	_	_	_	_	is_GNon_incertDNon_incertRNon	193-195	_	_	_	_
2	se	se	CLR	CLR	n=p,s|p=3	3	aff	3	aff	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	190	2	192	_	196	198	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
3	retourna	retourner	V	V	n=s|t=J|p=3	0	root	0	root	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	193	2	201	passeSimple	199	207	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
4	en	en	P	P		3	mod	3	mod	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	202	2	204	_	208	210	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
5	entendant	entendre	VPR	VPR	t=G	4	prep	4	prep	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	205	2	214	_	211	220	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
6	ce	ce	DET	DET	n=s|g=m	8	det	8	det	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	215	2	217	_	221	223	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
7	grand	grand	ADJ	ADJ	n=s|g=m	8	mod	8	mod	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	218	2	223	_	224	229	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
8	bruit	bruit	NC	NC	n=s|g=m	5	obj	5	obj	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	224	2	229	_	230	235	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
9	.	.	PONCT	PONCT		8	ponct	8	ponct	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	229	2	230	_	235	236	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
"
"
1	On	on	CLS	CLS	n=s|p=3	2	suj	2	suj	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	231	2	233	_	237	239	_	_	_	_	_	_	_	_	_	_	_	_	_	_
2	croirait	croire	V	V	n=s|t=C|p=3	0	root	0	root	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	234	2	242	autreTemps	240	248	_	_	_	_	_	_	_	_	_	_	_	_	_	_
3	un	un	DET	DET	n=s|g=m	4	det	4	det	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	243	2	245	_	249	251	_	_	_	_	_	_	_	_	_	_	_	_	_	_
4	chien	chien	NC	NC	n=s|g=m	2	obj	2	obj	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	246	2	251	_	252	257	_	_	_	_	_	_	_	_	_	_	_	_	_	_
5	qui	qui	PROREL	PROREL	n=s	6	suj	6	suj	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	252	2	255	_	258	261	_	_	_	_	_	_	_	_	_	_	_	_	_	_
6	ronge	ronger	V	V	n=s|t=P,S|p=1,3	4	mod_rel	4	mod_rel	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	256	2	261	present	262	267	_	_	_	_	_	_	_	_	_	_	_	_	_	_
7	le	le	DET	DET	n=s|g=m	8	det	8	det	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	262	2	264	_	268	270	_	_	_	_	_	_	_	_	_	_	_	_	_	_
8	plafond	plafond	NC	NC	n=s|g=m	6	obj	6	obj	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	265	2	272	_	271	278	_	_	_	_	_	_	_	_	_	_	_	_	_	_
9	mais	mais	CC	CC		2	coord	2	coord	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	273	2	277	_	279	283	_	_	_	_	_	_	_	_	_	_	_	_	_	_
10	quand	quand	CS	CS		9	dep_coord	9	dep_coord	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	278	2	283	_	284	289	_	_	_	Err	quant	284-289	_	_	_	_	_	_	_	_
11	les	les	DET	DET	n=p	12	det	12	det	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	284	2	287	_	290	293	_	_	_	_	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	290-301	_	_
12	enfants	enfant	NC	NC	n=p	13	suj	13	suj	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	288	2	295	_	294	301	_	_	_	_	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	290-301	_	_
13	lancèrent	lancer	V	V	n=p|t=J|p=3	10	sub	10	sub	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	296	2	305	passeSimple	302	311	_	_	_	Err	lançaire	302-311	_	_	_	_	_	_	_	_
14	le	le	DET	DET	n=s|g=m	15	det	15	det	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	306	2	308	_	312	314	_	_	_	_	_	_	_	_	_	_	_	_	_	_
15	ballon	ballon	NC	NC	n=s|g=m	13	obj	13	obj	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	309	2	315	_	315	321	_	_	_	_	_	_	_	_	_	_	_	_	_	_
16	sur	sur	P	P		13	mod	13	mod	CO-5e-2018-IJLM-D1-R3-V1_N.ac	2	316	2	319	_	322	325	_	_	_	_	_	_	_	_	_	_	_	_	_	_
