1	Autrefois	autrefois	ADV	ADV		5	mod	5	mod	EC-CE2-2015-PBOX-D1-R5-V1_N.ac	1	1	1	10	_	1	10	_	_	_	_	_	_	_	_	_	_	_	_	_	_
2	,	,	PONCT	PONCT		1	ponct	1	ponct	EC-CE2-2015-PBOX-D1-R5-V1_N.ac	1	10	1	11	_	10	11	_	_	_	_	_	_	_	_	_	_	_	_	_	_
3	il	il	CLS	CLS	n=s|g=m|p=3	5	suj	5	suj	EC-CE2-2015-PBOX-D1-R5-V1_N.ac	1	12	1	14	_	12	14	_	_	_	Err	Il	12-14	_	_	_	_	_	_	_	_
4	y	y	CLO	CLO		5	aff	5	aff	EC-CE2-2015-PBOX-D1-R5-V1_N.ac	1	15	1	16	_	15	16	_	_	_	_	_	_	_	_	_	_	_	_	_	_
5	avait	avoir	V	V	n=s|t=I|p=3	0	root	0	root	EC-CE2-2015-PBOX-D1-R5-V1_N.ac	1	17	1	22	imparfait	17	22	_	_	_	_	_	_	_	_	_	_	_	_	_	_
6	une	une	DET	DET	n=s|g=f	7	det	7	det	EC-CE2-2015-PBOX-D1-R5-V1_N.ac	1	23	1	26	_	23	26	_	_	_	_	_	_	_	_	_	_	_	_	_	_
7	maison	maison	NC	NC	n=s|g=f	5	obj	5	obj	EC-CE2-2015-PBOX-D1-R5-V1_N.ac	1	27	1	33	_	27	33	_	_	_	_	_	_	_	_	_	_	_	_	_	_
8	dans	dans	P	P		5	mod	5	mod	EC-CE2-2015-PBOX-D1-R5-V1_N.ac	1	34	1	38	_	34	38	_	_	_	_	_	_	_	_	_	_	_	_	_	_
9	un	un	DET	DET	n=s|g=m	11	det	11	det	EC-CE2-2015-PBOX-D1-R5-V1_N.ac	1	39	1	41	_	39	41	_	_	_	_	_	_	_	_	_	_	_	_	_	_
10	petit	petit	ADJ	ADJ	n=s|g=m	11	mod	11	mod	EC-CE2-2015-PBOX-D1-R5-V1_N.ac	1	42	1	47	_	42	47	_	_	_	_	_	_	_	_	_	_	_	_	_	_
11	village	village	NC	NC	n=s|g=m	8	prep	8	prep	EC-CE2-2015-PBOX-D1-R5-V1_N.ac	1	48	1	55	_	48	55	_	_	_	_	_	_	_	_	_	_	_	_	_	_
12	.	.	PONCT	PONCT		11	ponct	11	ponct	EC-CE2-2015-PBOX-D1-R5-V1_N.ac	1	55	1	56	_	55	56	_	_	_	_	_	_	_	_	_	_	_	_	_	_
"
"
1	Elle	elle	CLS	CLS	n=s|g=f|p=3	2	suj	2	suj	EC-CE2-2015-PBOX-D1-R5-V1_N.ac	1	57	1	61	_	57	61	consigne	_	_	_	_	_	is_GNon_incertDNon_incertRNon	57-61	_	_	_	_	_	_
2	habitait	habiter	V	V	n=s|t=I|p=3	0	root	0	root	EC-CE2-2015-PBOX-D1-R5-V1_N.ac	1	62	1	70	imparfait	62	70	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
3	dans	dans	P	P		2	mod	2	mod	EC-CE2-2015-PBOX-D1-R5-V1_N.ac	1	71	1	75	_	71	75	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
4	cette	cette	DET	DET	n=s|g=f	5	det	5	det	EC-CE2-2015-PBOX-D1-R5-V1_N.ac	1	76	1	81	_	76	81	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
5	maison	maison	NC	NC	n=s|g=f	3	prep	3	prep	EC-CE2-2015-PBOX-D1-R5-V1_N.ac	1	82	1	88	_	82	88	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
6	depuis	depuis	P	P		2	mod	2	mod	EC-CE2-2015-PBOX-D1-R5-V1_N.ac	1	89	1	95	_	89	95	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
7	longtemps	longtemps	ADV	ADV		6	mod	6	mod	EC-CE2-2015-PBOX-D1-R5-V1_N.ac	1	96	1	105	_	96	105	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
8	.	.	PONCT	PONCT		7	ponct	7	ponct	EC-CE2-2015-PBOX-D1-R5-V1_N.ac	1	105	1	106	_	105	106	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
"
"
1	Malika	Malika	NPP	NPP	n=s|g=f	5	suj	5	suj	EC-CE2-2015-PBOX-D1-R5-V1_N.ac	2	1	2	7	_	106	112	_	_	_	_	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	106-125	_	_
2	et	et	CC	CC		1	coord	1	coord	EC-CE2-2015-PBOX-D1-R5-V1_N.ac	2	8	2	10	_	113	115	_	_	_	_	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	106-125	_	_
3	son	son	DET	DET	n=s|g=m|p=3|poss=s	4	det	4	det	EC-CE2-2015-PBOX-D1-R5-V1_N.ac	2	11	2	14	_	116	119	_	_	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	116-125	in_GNon_incertDNon_incertRNon	106-125	_	_
4	frère	frère	NC	NC	n=s|g=m	2	dep_coord	2	dep_coord	EC-CE2-2015-PBOX-D1-R5-V1_N.ac	2	15	2	20	_	120	125	_	_	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	116-125	in_GNon_incertDNon_incertRNon	106-125	_	_
5	sortaient	sortir	V	V	n=p|t=I|p=3	0	root	0	root	EC-CE2-2015-PBOX-D1-R5-V1_N.ac	2	21	2	30	imparfait	126	135	_	_	_	_	_	_	_	_	_	_	_	_	_	_
