1	Il	il	CLS	CLS	n=s|g=m|p=3	2	suj	2	suj	/Users/yoannbard/Desktop/e-calm/corpus_resolco/Scripts/../resolco_vf/CE2/EC-CE2-2017-TBZX-D1-R-V1_T/copiesNormees/ac/EC-CE2-2017-TBZX-D1-R4-V1_N.ac	1	1	1	3	_	1	3	_	_	_	_	_	_	_	_	_	_	_	_	_	_
2	était	être	V	V	n=s|t=I|p=3	0	root	0	root	/Users/yoannbard/Desktop/e-calm/corpus_resolco/Scripts/../resolco_vf/CE2/EC-CE2-2017-TBZX-D1-R-V1_T/copiesNormees/ac/EC-CE2-2017-TBZX-D1-R4-V1_N.ac	1	4	1	9	imparfait	4	9	_	_	_	Err	y était	4-9	_	_	_	_	_	_	_	_
3	une	une	DET	DET	n=s|g=f	4	det	4	det	/Users/yoannbard/Desktop/e-calm/corpus_resolco/Scripts/../resolco_vf/CE2/EC-CE2-2017-TBZX-D1-R-V1_T/copiesNormees/ac/EC-CE2-2017-TBZX-D1-R4-V1_N.ac	1	10	1	13	_	10	13	_	_	_	_	_	_	_	_	_	_	_	_	_	_
4	fois	fois	NC	NC	g=f	2	obj	2	obj	/Users/yoannbard/Desktop/e-calm/corpus_resolco/Scripts/../resolco_vf/CE2/EC-CE2-2017-TBZX-D1-R-V1_T/copiesNormees/ac/EC-CE2-2017-TBZX-D1-R4-V1_N.ac	1	14	1	18	_	14	18	_	_	_	_	_	_	_	_	_	_	_	_	_	_
5	une	une	DET	DET	n=s|g=f	7	det	7	det	/Users/yoannbard/Desktop/e-calm/corpus_resolco/Scripts/../resolco_vf/CE2/EC-CE2-2017-TBZX-D1-R-V1_T/copiesNormees/ac/EC-CE2-2017-TBZX-D1-R4-V1_N.ac	1	19	1	22	_	19	22	_	del	22-22	_	_	_	in_GNon_incertDNon_incertRNon	19-34	_	_	_	_	_	_
6	jeune	jeune	ADJ	ADJ	n=s	7	mod	7	mod	/Users/yoannbard/Desktop/e-calm/corpus_resolco/Scripts/../resolco_vf/CE2/EC-CE2-2017-TBZX-D1-R-V1_T/copiesNormees/ac/EC-CE2-2017-TBZX-D1-R4-V1_N.ac	1	23	1	28	_	23	28	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	19-34	_	_	_	_	_	_
7	fille	fille	NC	NC	n=s|g=f	2	mod	2	mod	/Users/yoannbard/Desktop/e-calm/corpus_resolco/Scripts/../resolco_vf/CE2/EC-CE2-2017-TBZX-D1-R-V1_T/copiesNormees/ac/EC-CE2-2017-TBZX-D1-R4-V1_N.ac	1	29	1	34	_	29	34	_	_	_	Err	fille.qui	29-38	in_GNon_incertDNon_incertRNon	19-34	_	_	_	_	_	_
"
"
1	qui	qui	PROWH	PROWH	n=s	2	suj	2	suj	/Users/yoannbard/Desktop/e-calm/corpus_resolco/Scripts/../resolco_vf/CE2/EC-CE2-2017-TBZX-D1-R-V1_T/copiesNormees/ac/EC-CE2-2017-TBZX-D1-R4-V1_N.ac	2	2	2	5	_	35	38	_	_	_	Err	fille.qui	29-38	is_GNon_incertDNon_incertRNon	35-38	_	_	_	_	_	_
2	vivait	vivre	V	V	n=s|t=I|p=3	0	root	0	root	/Users/yoannbard/Desktop/e-calm/corpus_resolco/Scripts/../resolco_vf/CE2/EC-CE2-2017-TBZX-D1-R-V1_T/copiesNormees/ac/EC-CE2-2017-TBZX-D1-R4-V1_N.ac	2	6	2	12	imparfait	39	45	_	_	_	_	_	_	_	_	_	_	_	_	_	_
3	avec	avec	P	P		2	mod	2	mod	/Users/yoannbard/Desktop/e-calm/corpus_resolco/Scripts/../resolco_vf/CE2/EC-CE2-2017-TBZX-D1-R-V1_T/copiesNormees/ac/EC-CE2-2017-TBZX-D1-R4-V1_N.ac	2	13	2	17	_	46	50	_	_	_	_	_	_	_	_	_	_	_	_	_	_
4	son	son	DET	DET	n=s|g=m|p=3|poss=s	5	det	5	det	/Users/yoannbard/Desktop/e-calm/corpus_resolco/Scripts/../resolco_vf/CE2/EC-CE2-2017-TBZX-D1-R-V1_T/copiesNormees/ac/EC-CE2-2017-TBZX-D1-R4-V1_N.ac	2	18	2	21	_	51	54	_	_	_	_	_	_	is_GNon_incertDNon_incertRNon	51-54	in_GNon_incertDNon_incertRNon	51-60	_	_	_	_
5	frère	frère	NC	NC	n=s|g=m	3	prep	3	prep	/Users/yoannbard/Desktop/e-calm/corpus_resolco/Scripts/../resolco_vf/CE2/EC-CE2-2017-TBZX-D1-R-V1_T/copiesNormees/ac/EC-CE2-2017-TBZX-D1-R4-V1_N.ac	2	22	2	27	_	55	60	_	_	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	51-60	_	_	_	_
6	et	et	CC	CC		2	coord	2	coord	/Users/yoannbard/Desktop/e-calm/corpus_resolco/Scripts/../resolco_vf/CE2/EC-CE2-2017-TBZX-D1-R-V1_T/copiesNormees/ac/EC-CE2-2017-TBZX-D1-R4-V1_N.ac	2	28	2	30	_	61	63	_	_	_	_	_	_	_	_	_	_	_	_	_	_
7	ses	ses	DET	DET	n=p|p=3|poss=s	8	det	8	det	/Users/yoannbard/Desktop/e-calm/corpus_resolco/Scripts/../resolco_vf/CE2/EC-CE2-2017-TBZX-D1-R-V1_T/copiesNormees/ac/EC-CE2-2017-TBZX-D1-R4-V1_N.ac	2	31	2	34	_	64	67	_	_	_	_	_	_	is_GNon_incertDNon_incertRNon	64-67	_	_	_	_	_	_
8	parents	parent	NC	NC	n=p|g=m	11	suj	11	suj	/Users/yoannbard/Desktop/e-calm/corpus_resolco/Scripts/../resolco_vf/CE2/EC-CE2-2017-TBZX-D1-R-V1_T/copiesNormees/ac/EC-CE2-2017-TBZX-D1-R4-V1_N.ac	2	35	2	42	_	68	75	_	_	_	_	_	_	_	_	_	_	_	_	_	_
9	,	,	PONCT	PONCT		8	ponct	8	ponct	/Users/yoannbard/Desktop/e-calm/corpus_resolco/Scripts/../resolco_vf/CE2/EC-CE2-2017-TBZX-D1-R-V1_T/copiesNormees/ac/EC-CE2-2017-TBZX-D1-R4-V1_N.ac	2	42	2	43	_	75	76	_	_	_	_	_	_	_	_	_	_	_	_	_	_
10	Elle	_	NPP	NPP		8	mod	8	mod	/Users/yoannbard/Desktop/e-calm/corpus_resolco/Scripts/../resolco_vf/CE2/EC-CE2-2017-TBZX-D1-R-V1_T/copiesNormees/ac/EC-CE2-2017-TBZX-D1-R4-V1_N.ac	2	44	2	48	_	77	81	consigne	_	_	Err	1 Elle	77-81	is_GNon_incertDNon_incertRNon	77-81	_	_	_	_	_	_
11	habitait	habiter	V	V	n=s|t=I|p=3	6	dep_coord	6	dep_coord	/Users/yoannbard/Desktop/e-calm/corpus_resolco/Scripts/../resolco_vf/CE2/EC-CE2-2017-TBZX-D1-R-V1_T/copiesNormees/ac/EC-CE2-2017-TBZX-D1-R4-V1_N.ac	2	49	2	57	imparfait	82	90	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
12	dans	dans	P	P		11	mod	11	mod	/Users/yoannbard/Desktop/e-calm/corpus_resolco/Scripts/../resolco_vf/CE2/EC-CE2-2017-TBZX-D1-R-V1_T/copiesNormees/ac/EC-CE2-2017-TBZX-D1-R4-V1_N.ac	2	58	2	62	_	91	95	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
13	cette	cette	DET	DET	n=s|g=f	14	det	14	det	/Users/yoannbard/Desktop/e-calm/corpus_resolco/Scripts/../resolco_vf/CE2/EC-CE2-2017-TBZX-D1-R-V1_T/copiesNormees/ac/EC-CE2-2017-TBZX-D1-R4-V1_N.ac	2	63	2	68	_	96	101	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
14	maison	maison	NC	NC	n=s|g=f	12	prep	12	prep	/Users/yoannbard/Desktop/e-calm/corpus_resolco/Scripts/../resolco_vf/CE2/EC-CE2-2017-TBZX-D1-R-V1_T/copiesNormees/ac/EC-CE2-2017-TBZX-D1-R4-V1_N.ac	2	69	2	75	_	102	108	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
15	depuis	depuis	P	P		11	mod	11	mod	/Users/yoannbard/Desktop/e-calm/corpus_resolco/Scripts/../resolco_vf/CE2/EC-CE2-2017-TBZX-D1-R-V1_T/copiesNormees/ac/EC-CE2-2017-TBZX-D1-R4-V1_N.ac	2	76	2	82	_	109	115	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
16	longtemps	longtemps	ADV	ADV		15	mod	15	mod	/Users/yoannbard/Desktop/e-calm/corpus_resolco/Scripts/../resolco_vf/CE2/EC-CE2-2017-TBZX-D1-R-V1_T/copiesNormees/ac/EC-CE2-2017-TBZX-D1-R4-V1_N.ac	2	83	2	92	_	116	125	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
17	.	.	PONCT	PONCT		16	ponct	16	ponct	/Users/yoannbard/Desktop/e-calm/corpus_resolco/Scripts/../resolco_vf/CE2/EC-CE2-2017-TBZX-D1-R-V1_T/copiesNormees/ac/EC-CE2-2017-TBZX-D1-R4-V1_N.ac	2	92	2	93	_	125	126	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
"
"
1	Un	un	DET	DET	n=s|g=m	2	det	2	det	/Users/yoannbard/Desktop/e-calm/corpus_resolco/Scripts/../resolco_vf/CE2/EC-CE2-2017-TBZX-D1-R-V1_T/copiesNormees/ac/EC-CE2-2017-TBZX-D1-R4-V1_N.ac	3	1	3	3	_	126	128	_	_	_	_	_	_	_	_	_	_	_	_	_	_
2	jour	jour	NC	NC	n=s|g=m	6	mod	6	mod	/Users/yoannbard/Desktop/e-calm/corpus_resolco/Scripts/../resolco_vf/CE2/EC-CE2-2017-TBZX-D1-R-V1_T/copiesNormees/ac/EC-CE2-2017-TBZX-D1-R4-V1_N.ac	3	4	3	8	_	129	133	_	_	_	_	_	_	_	_	_	_	_	_	_	_
3	tout	tout	ADJ	ADJ	n=s|g=m	2	mod	2	mod	/Users/yoannbard/Desktop/e-calm/corpus_resolco/Scripts/../resolco_vf/CE2/EC-CE2-2017-TBZX-D1-R-V1_T/copiesNormees/ac/EC-CE2-2017-TBZX-D1-R4-V1_N.ac	3	9	3	13	_	134	138	_	_	_	Err	quand tout	134-138	in_GOui_incertDNon_incertRNon	134-147	_	_	_	_	_	_
4	le	le	DET	DET	n=s|g=m	5	det	5	det	/Users/yoannbard/Desktop/e-calm/corpus_resolco/Scripts/../resolco_vf/CE2/EC-CE2-2017-TBZX-D1-R-V1_T/copiesNormees/ac/EC-CE2-2017-TBZX-D1-R4-V1_N.ac	3	14	3	16	_	139	141	_	_	_	_	_	_	in_GOui_incertDNon_incertRNon	134-147	_	_	_	_	_	_
