1	Amélie	Amélie	NPP	NPP	n=s|g=f	2	suj	2	suj	EC-CM1-2016-BRX-D1-R2-V1_N.ac	1	3	1	9	_	3	9	_	_	_	_	_	_	is_GNon_incertDNon_incertRNon	3-9	_	_	_	_	_	_
2	jouait	jouer	V	V	n=s|t=I|p=3	0	root	0	root	EC-CM1-2016-BRX-D1-R2-V1_N.ac	1	10	1	16	imparfait	10	16	_	_	_	_	_	_	_	_	_	_	_	_	_	_
3	dehors	dehors	ADV	ADV		2	mod	2	mod	EC-CM1-2016-BRX-D1-R2-V1_N.ac	1	17	1	23	_	17	23	_	_	_	_	_	_	_	_	_	_	_	_	_	_
4	en	en	P	P		2	mod	2	mod	EC-CM1-2016-BRX-D1-R2-V1_N.ac	1	24	1	26	_	24	26	_	_	_	_	_	_	_	_	_	_	_	_	_	_
5	plein	plein	ADJ	ADJ	n=s|g=m	6	mod	6	mod	EC-CM1-2016-BRX-D1-R2-V1_N.ac	1	27	1	32	_	27	32	_	_	_	_	_	_	_	_	_	_	_	_	_	_
6	milieu	milieu	NC	NC	n=s|g=m	4	prep	4	prep	EC-CM1-2016-BRX-D1-R2-V1_N.ac	1	33	1	39	_	33	39	_	_	_	_	_	_	_	_	_	_	_	_	_	_
7	de	de	P	P		2	mod	2	mod	EC-CM1-2016-BRX-D1-R2-V1_N.ac	1	40	1	42	_	40	42	_	_	_	_	_	_	_	_	_	_	_	_	_	_
8	la	la	DET	DET	n=s|g=f	9	det	9	det	EC-CM1-2016-BRX-D1-R2-V1_N.ac	1	43	1	45	_	43	45	_	_	_	_	_	_	_	_	_	_	_	_	_	_
9	nuit	nuit	NC	NC	n=s|g=f	7	prep	7	prep	EC-CM1-2016-BRX-D1-R2-V1_N.ac	1	46	1	50	_	46	50	_	_	_	_	_	_	_	_	_	_	_	_	_	_
10	.	.	PONCT	PONCT		9	ponct	9	ponct	EC-CM1-2016-BRX-D1-R2-V1_N.ac	1	50	1	51	_	50	51	_	_	_	_	_	_	_	_	_	_	_	_	_	_
"
"
1	Elle	elle	CLS	CLS	n=s|g=f|p=3	2	suj	2	suj	EC-CM1-2016-BRX-D1-R2-V1_N.ac	1	52	1	56	_	52	56	_	_	_	_	_	_	is_GNon_incertDNon_incertRNon	52-56	_	_	_	_	_	_
2	habitait	habiter	V	V	n=s|t=I|p=3	0	root	0	root	EC-CM1-2016-BRX-D1-R2-V1_N.ac	1	57	1	65	imparfait	57	65	_	_	_	_	_	_	_	_	_	_	_	_	_	_
3	une	une	DET	DET	n=s|g=f	4	det	4	det	EC-CM1-2016-BRX-D1-R2-V1_N.ac	1	66	1	69	_	66	69	_	_	_	_	_	_	_	_	_	_	_	_	_	_
4	maison	maison	NC	NC	n=s|g=f	2	obj	2	obj	EC-CM1-2016-BRX-D1-R2-V1_N.ac	1	70	1	76	_	70	76	_	_	_	_	_	_	_	_	_	_	_	_	_	_
5	près	près	ADV	ADV		4	mod	4	mod	EC-CM1-2016-BRX-D1-R2-V1_N.ac	1	77	1	81	_	77	81	_	_	_	_	_	_	_	_	_	_	_	_	_	_
6	du	de	P+D	P+D	n=s|g=m	4	dep	4	dep	EC-CM1-2016-BRX-D1-R2-V1_N.ac	1	82	1	84	_	82	84	_	_	_	_	_	_	_	_	_	_	_	_	_	_
7	lac	lac	NC	NC	n=s|g=m	6	prep	6	prep	EC-CM1-2016-BRX-D1-R2-V1_N.ac	1	85	1	88	_	85	88	_	_	_	_	_	_	_	_	_	_	_	_	_	_
8	.	.	PONCT	PONCT		7	ponct	7	ponct	EC-CM1-2016-BRX-D1-R2-V1_N.ac	1	88	1	89	_	88	89	_	_	_	_	_	_	_	_	_	_	_	_	_	_
"
"
1	Elle	elle	CLS	CLS	n=s|g=f|p=3	2	suj	2	suj	EC-CM1-2016-BRX-D1-R2-V1_N.ac	1	90	1	94	_	90	94	consigne	_	_	_	_	_	is_GNon_incertDNon_incertRNon	90-94	_	_	_	_	_	_
