1	Il	il	CLS	CLS	n=s|g=m|p=3	2	suj	2	suj	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	1	1	3	_	1	3	_	_	_	_	_	_	_	_	_	_	_	_	_	_
2	était	être	V	V	n=s|t=I|p=3	0	root	0	root	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	4	1	9	imparfait	4	9	_	_	_	_	_	_	_	_	_	_	_	_	_	_
3	une	une	DET	DET	n=s|g=f	4	det	4	det	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	10	1	13	_	10	13	_	_	_	_	_	_	_	_	_	_	_	_	_	_
4	fois	fois	NC	NC	g=f	2	obj	2	obj	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	14	1	18	_	14	18	_	_	_	_	_	_	_	_	_	_	_	_	_	_
5	une	une	DET	DET	n=s|g=f	6	det	6	det	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	19	1	22	_	19	22	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	19-45	_	_	_	_	_	_
6	sorcière	sorcière	NC	NC	n=s|g=f	2	mod	2	mod	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	23	1	31	_	23	31	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	19-45	_	_	_	_	_	_
7	très	très	ADV	ADV		8	mod	8	mod	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	32	1	36	_	32	36	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	19-45	_	_	_	_	_	_
8	méchante	méchant	ADJ	ADJ	n=s|g=f	6	mod	6	mod	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	37	1	45	_	37	45	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	19-45	_	_	_	_	_	_
9	.	.	PONCT	PONCT		8	ponct	8	ponct	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	45	1	46	_	45	46	_	_	_	_	_	_	_	_	_	_	_	_	_	_
"
"
1	Elle	elle	CLS	CLS	n=s|g=f|p=3	2	suj	2	suj	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	47	1	51	_	47	51	_	_	_	_	_	_	is_GNon_incertDNon_incertRNon	47-51	_	_	_	_	_	_
2	avait	avoir	V	V	n=s|t=I|p=3	0	root	0	root	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	52	1	57	imparfait	52	57	_	_	_	Err	avaient	52-57	_	_	_	_	_	_	_	_
3	une	une	DET	DET	n=s|g=f	4	det	4	det	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	58	1	61	_	58	61	_	_	_	_	_	_	_	_	_	_	_	_	_	_
4	maison	maison	NC	NC	n=s|g=f	2	obj	2	obj	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	62	1	68	_	62	68	_	_	_	_	_	_	_	_	_	_	_	_	_	_
5	sale	sale	ADJ	ADJ	n=s	4	mod	4	mod	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	69	1	73	_	69	73	_	_	_	Err	salle	69-73	_	_	_	_	_	_	_	_
6	.	.	PONCT	PONCT		5	ponct	5	ponct	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	73	1	74	_	73	74	_	_	_	_	_	_	_	_	_	_	_	_	_	_
"
"
1	Elle	elle	CLS	CLS	n=s|g=f|p=3	0	_	0	_	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	75	1	79	_	75	79	_	_	_	_	_	_	is_GNon_incertDNon_incertRNon	75-79	_	_	_	_	_	_
2	a	avoir	V	V	n=s|t=P|p=3	0	_	0	_	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	80	1	81	present	80	81	_	_	_	_	_	_	_	_	_	_	_	_	_	_
3	70	70	ADJ	ADJ		4	mod	4	mod	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	82	1	84	_	82	84	_	_	_	_	_	_	_	_	_	_	_	_	_	_
4	ans	an	NC	NC	n=p|g=m	2	obj	2	obj	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	85	1	88	_	85	88	_	_	_	Err	,	88-88	_	_	_	_	_	_	_	_
5	et	et	CC	CC		2	coord	2	coord	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	89	1	91	_	89	91	_	_	_	_	_	_	_	_	_	_	_	_	_	_
6	ça	ça	PRO	PRO	n=s	7	suj	7	suj	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	92	1	94	_	92	94	_	_	_	Err	sa	92-94	_	_	_	_	_	_	_	_
7	fait	faire	V	V	n=s|t=P|p=3	5	dep_coord	5	dep_coord	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	95	1	99	present	95	99	_	_	_	_	_	_	_	_	_	_	_	_	_	_
8	70	70	ADJ	ADJ		9	mod	9	mod	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	100	1	102	_	100	102	_	_	_	_	_	_	_	_	_	_	_	_	_	_
9	ans	an	NC	NC	n=p|g=m	7	obj	7	obj	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	103	1	106	_	103	106	_	_	_	_	_	_	_	_	_	_	_	_	_	_
10	qu'	que	PROREL	PROREL		15	obj	15	obj	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	107	1	110	_	107	110	_	_	_	Err	quel	107-114	_	_	_	_	_	_	_	_
11	elle	elle	CLS	CLS	n=s|g=f|p=3	15	suj	15	suj	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	110	1	114	_	110	114	_	_	_	Err	quel	107-114	is_GNon_incertDNon_incertRNon	110-114	_	_	_	_	_	_
12	n'	ne	ADV	ADV		15	mod	15	mod	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	115	1	117	_	115	117	_	_	_	Err	a	115-118	_	_	_	_	_	_	_	_
13	a	avoir	V	V	n=s|t=P|p=3	15	aux_tps	15	aux_tps	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	117	1	118	present	117	118	_	_	_	Err	a	115-118	_	_	_	_	_	_	_	_
14	pas	pas	ADV	ADV		15	mod	15	mod	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	119	1	122	_	119	122	_	_	_	_	_	_	_	_	_	_	_	_	_	_
15	lavé	laver	VPP	VPP	n=s|g=m|t=K	9	mod_rel	9	mod_rel	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	123	1	127	_	123	127	_	_	_	Err	l'avait	123-127	_	_	_	_	_	_	_	_
16	.	.	PONCT	PONCT		15	ponct	15	ponct	EC-CM1-2016-VRX-D1-R6-V1_N.ac	1	127	1	128	_	127	128	_	_	_	_	_	_	_	_	_	_	_	_	_	_
"
"
1	Elle	elle	CLS	CLS	n=s|g=f|p=3	2	suj	2	suj	EC-CM1-2016-VRX-D1-R6-V1_N.ac	2	2	2	6	_	129	133	consigne	_	_	_	_	_	is_GNon_incertDNon_incertRNon	129-133	_	_	_	_	_	_
2	habitait	habiter	V	V	n=s|t=I|p=3	0	root	0	root	EC-CM1-2016-VRX-D1-R6-V1_N.ac	2	7	2	15	imparfait	134	142	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
3	dans	dans	P	P		2	mod	2	mod	EC-CM1-2016-VRX-D1-R6-V1_N.ac	2	16	2	20	_	143	147	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
4	cette	cette	DET	DET	n=s|g=f	5	det	5	det	EC-CM1-2016-VRX-D1-R6-V1_N.ac	2	21	2	26	_	148	153	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
5	maison	maison	NC	NC	n=s|g=f	3	prep	3	prep	EC-CM1-2016-VRX-D1-R6-V1_N.ac	2	27	2	33	_	154	160	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
6	depuis	depuis	P	P		2	mod	2	mod	EC-CM1-2016-VRX-D1-R6-V1_N.ac	2	34	2	40	_	161	167	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
7	longtemps	longtemps	ADV	ADV		6	mod	6	mod	EC-CM1-2016-VRX-D1-R6-V1_N.ac	2	41	2	50	_	168	177	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
8	.	.	PONCT	PONCT		7	ponct	7	ponct	EC-CM1-2016-VRX-D1-R6-V1_N.ac	2	50	2	51	_	177	178	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
"
"
1	Elle	elle	CLS	CLS	n=s|g=f|p=3	2	suj	2	suj	EC-CM1-2016-VRX-D1-R6-V1_N.ac	3	2	3	6	_	179	183	_	_	_	_	_	_	is_GNon_incertDNon_incertRNon	179-183	_	_	_	_	_	_
2	habitait	habiter	V	V	n=s|t=I|p=3	0	root	0	root	EC-CM1-2016-VRX-D1-R6-V1_N.ac	3	7	3	15	imparfait	184	192	_	_	_	_	_	_	_	_	_	_	_	_	_	_
